	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"
"around"	1	0	0	0	0	0
"carbon"	1	1	0	0	0	0
"eco"	1	0	0	0	0	0
"eco-entrepreneur"	1	0	0	0	0	0
"entrepreneur"	1	0	0	0	0	0
"lead"	1	0	0	0	0	0
"lend"	1	0	0	0	0	0
"neutral"	1	0	0	0	0	0
"peopl"	1	1	0	1	1	0
"planet"	1	0	0	0	0	0
"roll"	1	0	0	0	0	0
"save"	1	0	0	0	0	0
"stone"	1	0	0	0	0	0
"took"	1	0	0	0	0	0
"tour"	1	0	0	0	0	0
"voic"	1	0	0	0	0	0
"want"	1	1	1	0	0	1
"world"	1	1	0	1	0	0
"action"	1	0	0	0	0	1
"benefici"	1	0	0	0	0	0
"carbon-reduc"	1	0	0	0	0	0
"carbonneutr"	1	0	0	0	0	0
"co"	1	0	0	0	0	0
"co-found"	1	0	0	0	0	0
"compani"	1	0	0	0	0	0
"dan"	1	0	0	0	0	0
"emiss"	1	1	0	0	0	0
"encourag"	1	0	0	0	0	0
"environment"	1	0	1	0	0	0
"founder"	1	0	0	0	0	0
"govern"	1	1	0	0	1	0
"individu"	1	0	1	0	0	0
"industri"	1	0	0	0	0	0
"morrel"	1	0	0	0	0	0
"offset"	1	0	0	0	0	0
"reduc"	1	0	0	0	0	0
"call"	1	0	1	0	0	1
"chant"	1	0	0	0	0	0
"charit"	1	0	0	0	0	0
"choir"	1	0	0	0	0	0
"creat"	1	0	0	0	0	0
"els"	1	0	0	0	0	0
"environ"	1	0	0	0	0	0
"everyon"	1	0	0	0	0	0
"global"	1	1	1	0	0	0
"invit"	1	0	0	0	0	0
"kind"	1	0	0	0	0	0
"organ"	1	0	0	1	0	0
"protect"	1	0	1	0	0	0
"virtual"	1	0	0	0	0	0
"work"	1	0	1	0	0	0
"chang"	1	1	0	0	0	0
"doha"	1	1	0	0	0	0
"playlist"	1	0	0	0	0	0
"download"	1	0	0	0	0	0
"associ"	1	0	0	0	0	0
"caus"	1	0	1	0	0	0
"chosen"	1	0	0	0	0	0
"devic"	1	0	0	0	0	0
"laptop"	1	0	0	0	0	0
"ll"	1	0	0	0	0	0
